Id,MSSubClass,LotArea,Single Family,Duplex,Floors,Quality,Condition,YearBuilt,YearRemodAdd,BsmtFi0SFY,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,Kitchen,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,PoolArea,MoSold,YearSold,SalePrice
21,60,14215,1,0,2,8,5,2005,2006,0,1158,1,1158,1218,2376,3,1,4,1,9,1,3,240,154,0,11,2006,325300
22,45,7449,1,0,1.5,7,7,1930,1950,0,637,1,1108,0,1108,1,0,3,1,6,1,1,0,0,0,6,2007,139400
23,20,9742,1,0,1,8,5,2002,2002,0,1777,1,1795,0,1795,2,0,3,1,7,1,2,171,159,0,9,2008,230000
24,120,4224,0,0,1,5,7,1976,1976,840,1040,1,1060,0,1060,1,0,3,1,6,1,2,100,110,0,6,2007,129900
25,20,8246,1,1,1,5,8,1968,2001,188,1060,1,1060,0,1060,1,0,3,1,6,1,1,406,90,0,5,2010,154000
26,20,14230,1,0,1,8,5,2007,2007,0,1566,1,1600,0,1600,2,0,3,1,7,1,3,0,56,0,7,2009,256300
27,20,7200,1,0,1,5,7,1951,2000,234,900,1,900,0,900,1,0,3,1,5,0,2,222,32,0,5,2010,134800
28,20,11478,1,0,1,8,5,2007,2008,1218,1704,1,1704,0,1704,2,0,3,1,7,1,3,0,50,0,5,2010,306000
29,20,16321,1,0,1,5,6,1957,1997,1277,1484,1,1600,0,1600,1,0,2,1,6,2,1,288,258,0,12,2006,207500
30,30,6324,1,0,1,4,6,1927,1950,0,520,0,520,0,520,1,0,1,1,4,0,1,49,0,0,5,2008,68500
31,70,8500,1,0,2,4,4,1920,1950,0,649,0,649,668,1317,1,0,3,1,6,0,1,0,54,0,7,2008,40000
32,20,8544,1,0,1,5,6,1966,2006,0,1228,1,1228,0,1228,1,1,3,1,6,0,1,0,65,0,6,2008,149350
33,20,11049,1,0,1,8,5,2007,2007,0,1234,1,1234,0,1234,2,0,3,1,7,0,2,0,30,0,1,2008,179900
34,20,10552,1,0,1,5,5,1959,1959,1018,1398,1,1700,0,1700,1,1,4,1,6,1,2,0,38,0,4,2010,165500
35,120,7313,0,0,1,9,5,2005,2005,1153,1561,1,1561,0,1561,2,0,2,1,6,1,2,203,47,0,8,2007,277500
36,60,13418,1,1,2,8,5,2004,2005,0,1117,1,1132,1320,2452,3,1,4,1,9,1,3,113,32,0,9,2006,309000
37,20,10859,1,0,1,5,5,1994,1995,0,1097,1,1097,0,1097,1,1,3,1,6,0,2,392,64,0,6,2009,145000
38,20,8532,1,0,1,5,6,1954,1990,1213,1297,1,1297,0,1297,1,0,3,1,5,1,2,0,0,0,10,2009,153000
39,20,7922,1,0,1,5,7,1953,2007,731,1057,1,1057,0,1057,1,0,3,1,5,0,1,0,52,0,1,2010,109000
40,90,6040,0,0,1,4,5,1955,1955,0,0,0,1152,0,1152,2,0,2,2,6,0,0,0,0,0,6,2008,82000
41,20,8658,1,1,1,6,5,1965,1965,643,1088,1,1324,0,1324,2,0,3,1,6,1,2,0,138,0,12,2006,160000
42,20,16905,1,0,1,5,6,1959,1959,967,1350,1,1328,0,1328,1,1,2,1,5,2,1,0,104,0,7,2007,170000
43,85,9180,1,0,1,5,7,1983,1983,747,840,1,884,0,884,1,0,2,1,5,0,2,240,0,0,12,2007,144000
44,20,9200,1,0,1,5,6,1975,1980,280,938,1,938,0,938,1,0,3,1,5,0,1,145,0,0,7,2008,130250
45,20,7945,1,0,1,5,6,1959,1959,179,1150,1,1150,0,1150,1,0,3,1,6,0,1,0,0,0,5,2006,141000
46,120,7658,0,0,1,9,5,2005,2005,456,1752,1,1752,0,1752,2,0,2,1,6,1,2,196,82,0,2,2010,319900
47,50,12822,1,1,1.5,7,5,2003,2003,1351,1434,1,1518,631,2149,1,1,1,1,6,1,2,168,43,0,8,2009,239686
48,20,11096,1,0,1,8,5,2006,2006,24,1656,1,1656,0,1656,2,0,3,1,7,0,3,0,146,0,7,2007,249700
49,190,4456,0,0,2,4,5,1920,2008,0,736,1,736,716,1452,2,0,2,3,8,0,0,0,0,0,6,2009,113000
50,20,7742,1,0,1,5,7,1966,1966,763,955,1,955,0,955,1,0,3,1,6,0,1,0,0,0,1,2007,127000
51,60,13869,1,0,2,6,6,1997,1997,182,794,1,794,676,1470,2,0,3,1,6,0,2,0,75,0,7,2007,177000
52,50,6240,1,0,1.5,6,6,1934,1950,0,816,1,816,0,1176,1,0,3,1,6,1,2,112,0,0,9,2006,114500
53,90,8472,0,0,1,5,5,1963,1963,104,816,0,816,0,816,1,0,2,1,5,0,2,106,0,0,5,2010,110000
54,20,50271,1,1,1,9,5,1981,1987,1810,1842,1,1842,0,1842,0,1,0,1,5,1,3,857,72,0,11,2006,385000
55,80,7134,1,0,1,5,5,1955,1955,384,384,1,1360,0,1360,1,0,3,1,6,1,2,0,50,0,2,2007,130000
56,20,10175,1,0,1,6,5,1964,1964,490,1425,1,1425,0,1425,2,0,3,1,7,1,2,0,0,0,7,2008,180500
57,160,2645,0,0,2,8,5,1999,2000,649,970,1,983,756,1739,2,1,3,1,7,0,2,115,0,0,8,2009,172500
58,60,11645,1,1,2,7,5,2004,2004,0,860,1,860,860,1720,2,1,3,1,7,0,2,0,70,0,8,2006,196500
59,60,13682,1,0,2,10,5,2006,2006,0,1410,1,1426,1519,2945,3,1,3,1,10,1,3,192,0,0,10,2006,438780
60,20,7200,1,0,1,5,7,1972,1972,632,780,1,780,0,780,1,0,2,1,4,0,1,196,0,0,1,2008,124900
61,20,13072,1,0,1,6,5,2004,2004,941,1158,1,1158,0,1158,1,1,3,1,5,0,2,0,50,0,5,2006,158000
62,75,7200,1,0,2,5,7,1920,1996,0,530,0,581,530,1111,1,0,3,1,6,0,1,0,0,0,3,2007,101000
63,120,6442,0,0,1,8,5,2006,2006,24,1370,1,1370,0,1370,2,0,2,1,6,1,2,120,49,0,10,2007,202500
64,70,10300,1,1,2,7,6,1921,1950,0,576,1,902,808,1710,2,0,3,1,9,0,2,12,11,0,4,2010,140000
65,60,9375,1,0,2,7,5,1997,1998,739,1057,1,1057,977,2034,2,1,3,1,8,0,2,576,36,0,2,2009,219500
66,60,9591,1,0,2,8,5,2004,2005,0,1143,1,1143,1330,2473,2,1,4,1,9,1,3,192,151,0,10,2007,317000
67,20,19900,1,0,1,7,5,1970,1989,912,1947,1,2207,0,2207,2,0,3,1,7,1,2,301,0,0,7,2010,180000
68,20,10665,1,0,1,7,5,2003,2003,1013,1453,1,1479,0,1479,2,0,3,1,7,0,2,144,29,0,6,2007,226000
69,30,4608,1,0,1,4,6,1945,1950,0,747,1,747,0,747,1,0,2,1,4,0,1,0,0,0,6,2010,80000
70,50,15593,1,0,1.5,7,4,1953,1953,603,1304,1,1304,983,2287,2,0,3,1,7,1,2,0,21,0,7,2006,225000
71,20,13651,1,0,1,7,6,1973,1973,1880,2223,1,2223,0,2223,2,0,3,1,8,2,2,300,0,0,2,2007,244000
72,20,7599,1,0,1,4,6,1982,2006,565,845,1,845,0,845,1,0,2,1,4,0,2,0,0,0,6,2007,129500
73,60,10141,1,0,2,7,5,1998,1998,0,832,1,885,833,1718,2,1,3,1,7,1,2,0,94,0,12,2009,185000
74,20,10200,1,0,1,5,7,1954,2003,320,1086,1,1086,0,1086,1,0,3,1,6,0,2,0,0,0,5,2010,144900
75,50,5790,1,0,2,3,6,1915,1950,0,840,0,840,765,1605,2,0,3,2,8,0,1,0,0,0,5,2010,107400
76,180,1596,0,0,1,4,5,1973,1973,462,462,1,526,462,988,1,0,2,1,5,0,1,120,101,0,11,2009,91000
77,20,8475,1,1,1,4,7,1956,1956,228,952,1,952,0,952,1,0,2,1,4,0,1,0,0,0,4,2008,135750
78,50,8635,1,0,1.5,5,5,1948,2001,336,672,1,1072,213,1285,1,0,2,1,6,0,1,0,0,0,1,2008,127000
79,90,10778,0,0,1,4,5,1968,1968,0,1768,0,1768,0,1768,2,0,4,2,8,0,0,0,0,0,4,2010,136500
80,50,10440,1,1,2,5,6,1910,1981,0,440,1,682,548,1230,1,1,2,1,5,0,2,74,0,0,5,2009,110000
81,60,13000,1,0,2,6,6,1968,1968,448,896,1,1182,960,2142,2,1,4,1,8,1,1,0,72,0,6,2009,193500
82,120,4500,0,0,1,6,5,1998,1998,1201,1237,1,1337,0,1337,2,0,2,1,5,0,2,0,199,0,3,2006,153500
83,20,10206,1,1,1,8,5,2007,2007,33,1563,1,1563,0,1563,2,0,3,1,6,1,3,144,99,0,10,2008,245000
84,20,8892,1,0,1,5,5,1960,1960,0,1065,1,1065,0,1065,1,1,3,1,6,0,2,74,0,0,7,2007,126500
85,80,8530,1,0,1,7,5,1995,1996,0,384,1,804,670,1474,2,1,3,1,7,1,2,120,72,0,5,2009,168500
86,60,16059,1,0,2,8,5,1991,1992,0,1288,1,1301,1116,2417,2,1,4,1,9,1,2,127,82,0,4,2006,260000
87,60,11911,1,0,2,6,5,2005,2005,0,684,1,684,876,1560,2,1,3,1,6,1,2,100,38,0,3,2009,174000
88,160,3951,0,0,2,6,5,2009,2009,0,612,1,612,612,1224,2,1,2,1,4,0,2,0,234,0,6,2009,164500
89,50,8470,1,1,1.5,3,2,1915,1982,0,1013,0,1013,0,1526,1,0,2,1,6,0,0,0,0,0,10,2009,85000
90,20,8070,1,0,1,4,5,1994,1995,588,990,1,990,0,990,1,0,3,1,5,0,0,0,0,0,8,2007,123600
91,20,7200,1,0,1,4,5,1950,1950,0,0,1,1040,0,1040,1,0,2,1,4,0,2,0,29,0,7,2006,109900
92,20,8500,1,0,1,5,3,1961,1961,600,1235,1,1235,0,1235,1,0,2,1,6,0,2,0,0,0,12,2006,98600
93,30,13360,1,0,1,5,7,1921,2006,713,876,1,964,0,964,1,0,2,1,5,0,2,0,0,0,8,2009,163500
94,190,7200,0,0,2,6,6,1910,1998,1046,1214,0,1260,1031,2291,2,0,4,2,9,1,2,0,0,0,11,2007,133900
95,60,9337,1,0,2,6,5,1997,1997,648,824,1,905,881,1786,2,1,3,1,7,0,2,0,162,0,5,2007,204750
96,60,9765,1,0,2,6,8,1993,1993,310,680,1,680,790,1470,2,1,3,1,6,1,2,232,63,0,4,2009,185000
97,20,10264,1,0,1,7,5,1999,1999,1162,1588,1,1588,0,1588,2,0,3,1,6,0,2,158,29,0,8,2006,214000
98,20,10921,1,0,1,4,5,1965,1965,520,960,1,960,0,960,1,0,3,1,6,0,1,120,0,0,5,2007,94750
99,30,10625,1,0,1,5,5,1920,1950,108,458,0,835,0,835,1,0,2,1,5,0,1,0,0,0,5,2010,83000
100,20,9320,1,0,1,4,5,1959,1959,569,950,1,1225,0,1225,1,1,3,1,6,0,0,352,0,0,1,2010,128950
101,20,10603,1,0,1,6,7,1977,2001,1200,1610,1,1610,0,1610,2,0,3,1,6,2,2,168,68,0,2,2010,205000
102,60,9206,1,0,2,6,5,1985,1985,0,741,1,977,755,1732,2,1,3,1,7,1,2,192,46,0,6,2010,178000
103,90,7018,0,0,1,5,5,1979,1979,0,0,1,1535,0,1535,2,0,4,2,8,0,2,0,0,0,6,2009,118964
104,20,10402,1,1,1,7,5,2009,2009,0,1226,1,1226,0,1226,2,0,3,1,6,0,3,0,36,0,5,2010,198900
105,50,7758,1,0,1.5,7,4,1931,1950,224,1040,1,1226,592,1818,1,1,4,1,7,2,1,0,0,0,6,2007,169500
106,60,9375,1,0,2,8,5,2003,2004,0,1053,1,1053,939,1992,2,1,3,1,9,1,2,140,45,0,8,2008,250000
107,30,10800,1,0,1,4,7,1885,1995,0,641,1,1047,0,1047,1,0,2,1,6,0,1,0,0,0,8,2007,100000
108,20,6000,1,0,1,5,5,1948,1950,104,789,1,789,0,789,1,0,2,1,5,0,1,0,0,0,4,2008,115000
109,50,8500,1,0,1.5,5,7,1919,2005,0,793,0,997,520,1517,2,0,3,1,7,0,0,0,0,0,8,2007,115000
110,20,11751,1,0,1,6,6,1977,1977,705,1844,1,1844,0,1844,2,0,3,1,7,1,2,0,122,0,1,2010,190000
111,50,9525,1,0,1.5,6,4,1954,1972,444,994,1,1216,639,1855,2,0,4,1,7,0,1,182,0,0,10,2006,136900
112,80,7750,1,0,1,7,5,2000,2000,250,384,1,774,656,1430,2,1,3,1,7,1,2,180,0,0,4,2010,180000
113,60,9965,1,0,2,7,5,2007,2007,984,1264,1,1282,1414,2696,2,1,4,1,10,1,3,120,184,0,10,2007,383970
114,20,21000,1,0,1,6,5,1953,1953,35,1809,1,2259,0,2259,2,0,3,1,7,2,2,166,120,0,10,2007,217000
115,70,7259,1,0,2,6,8,1945,2002,774,1028,1,1436,884,2320,2,1,3,1,9,1,1,224,0,0,7,2007,259500
116,160,3230,0,0,2,6,5,1999,1999,419,729,1,729,729,1458,2,1,2,1,5,1,2,0,32,0,6,2007,176000
117,20,11616,1,1,1,5,5,1962,1962,170,1092,1,1092,0,1092,1,0,3,1,6,1,1,0,20,0,9,2009,139000
118,20,8536,1,0,1,5,5,2006,2007,0,1125,1,1125,0,1125,1,1,2,1,5,0,2,80,64,0,4,2007,155000
119,60,12376,1,0,2,7,5,1990,1990,1470,1673,1,1699,1523,3222,3,0,5,1,11,2,3,367,0,0,5,2010,320000
120,60,8461,1,0,2,6,5,2005,2006,0,728,1,728,728,1456,2,1,3,1,8,1,2,0,24,0,7,2006,163990
121,80,21453,1,0,1,6,5,1969,1969,938,938,1,988,0,988,1,0,1,1,4,2,2,0,130,0,10,2006,180000
122,50,6060,1,0,1.5,4,5,1939,1950,0,732,1,772,351,1123,1,0,3,1,4,0,1,0,0,0,6,2007,100000
123,20,9464,1,0,1,6,7,1958,1958,570,1080,1,1080,0,1080,1,0,3,1,5,0,1,0,0,0,6,2008,136000
124,120,7892,0,0,1,6,5,1993,1993,300,1199,1,1199,0,1199,2,0,2,1,5,0,2,0,63,0,3,2008,153900
125,20,17043,1,1,1,6,5,1979,1998,0,1362,1,1586,0,1586,2,0,3,1,7,1,2,192,0,0,1,2009,181000
126,190,6780,0,0,1.5,6,8,1935,1982,490,520,0,520,0,754,1,0,2,1,5,0,0,53,0,0,6,2006,84500
127,120,4928,0,0,1,6,5,1976,1976,120,1078,1,958,0,958,2,0,2,1,5,1,2,0,205,0,2,2007,128000
128,45,4388,1,1,1.5,5,7,1930,1950,116,672,1,840,0,840,1,0,3,1,5,1,0,0,0,0,6,2007,87000
129,60,7590,1,0,2,6,5,1966,1966,512,660,1,660,688,1348,1,1,3,1,6,1,2,188,108,0,7,2006,155000
130,20,8973,1,0,1,5,7,1958,1991,567,1008,1,1053,0,1053,1,1,3,1,6,0,2,0,80,0,7,2006,150000
131,60,14200,1,0,2,7,6,1966,1966,445,924,1,1216,941,2157,2,1,4,1,8,2,2,105,66,0,5,2006,226000
132,60,12224,1,0,2,6,5,2000,2000,695,992,1,1022,1032,2054,2,1,3,1,7,1,2,24,48,0,7,2009,244000
133,20,7388,1,0,1,5,6,1959,2002,405,1063,1,1327,0,1327,1,0,3,1,7,0,2,0,0,0,7,2007,150750
134,20,6853,1,0,1,8,5,2001,2002,1005,1267,1,1296,0,1296,2,0,2,1,6,0,2,192,25,0,6,2009,220000
135,20,10335,1,0,1,5,6,1968,1993,570,1461,1,1721,0,1721,2,1,3,1,7,1,2,0,96,0,7,2006,180000
136,20,10400,1,0,1,7,6,1970,1970,0,1304,1,1682,0,1682,2,0,3,1,7,1,2,98,0,0,5,2008,174000
137,20,10355,1,0,1,5,5,1967,1967,695,1214,1,1214,0,1214,2,0,3,1,5,1,1,0,111,0,7,2007,143000
138,90,11070,0,0,1,7,5,1988,1989,0,1907,1,1959,0,1959,3,0,5,2,9,0,3,0,0,0,7,2006,171000
139,60,9066,1,1,2,8,5,1999,2000,668,1004,1,1004,848,1852,2,1,3,1,7,2,3,224,106,0,12,2008,230000
140,60,15426,1,0,2,6,5,1997,1997,821,928,1,928,836,1764,2,1,3,1,7,0,2,276,99,0,8,2009,231500
141,20,10500,1,0,1,4,5,1971,1971,432,864,1,864,0,864,1,0,3,1,5,1,0,0,0,0,4,2010,115000
142,20,11645,1,0,1,7,5,2005,2005,1300,1734,1,1734,0,1734,2,0,3,1,7,0,2,160,24,0,1,2006,260000
143,50,8520,1,0,1.5,5,4,1952,1952,507,910,1,910,475,1385,2,0,4,1,6,0,2,0,0,0,6,2010,166000
144,20,10335,1,0,1,7,5,1999,1999,679,1490,1,1501,0,1501,2,0,3,1,6,0,2,144,29,0,6,2009,204000
145,90,9100,0,0,1,5,5,1963,1963,1332,1728,1,1728,0,1728,2,0,6,2,10,0,2,0,0,0,11,2006,125000
146,160,2522,0,1,2,6,5,2004,2006,0,970,1,970,739,1709,2,0,3,1,7,0,2,0,40,0,4,2006,130000
147,30,6120,1,1,1,5,7,1931,1993,209,715,1,875,0,875,1,0,2,1,5,0,1,48,0,0,11,2009,105000
148,60,9505,1,0,2,7,5,2001,2001,0,884,1,884,1151,2035,2,1,3,1,8,1,2,144,48,0,5,2010,222500
149,20,7500,1,0,1,7,5,2004,2005,680,1080,1,1080,0,1080,1,0,3,1,6,0,0,0,0,0,4,2008,141000
150,50,6240,1,0,1.5,5,4,1936,1950,0,896,1,896,448,1344,1,0,3,1,7,0,1,200,114,0,4,2006,115000
151,20,10356,1,0,1,5,6,1975,1975,716,969,1,969,0,969,1,1,3,1,5,0,2,0,0,0,1,2007,122000
152,20,13891,1,0,1,8,5,2007,2008,1400,1710,1,1710,0,1710,2,0,2,1,6,1,3,0,102,0,1,2008,372402
153,60,14803,1,0,2,6,5,1971,1971,416,825,1,1097,896,1993,2,1,4,1,8,1,2,0,66,0,6,2006,190000
154,20,13500,1,0,1,6,7,1960,1975,429,1602,1,1252,0,1252,1,0,1,1,4,1,2,409,0,0,3,2008,235000
155,30,11340,1,0,1,6,5,1923,1950,0,1200,1,1200,0,1200,1,0,4,1,7,0,1,0,0,0,3,2006,125000
156,50,9600,1,0,1.5,6,5,1924,1950,0,572,0,572,524,1096,1,0,2,1,5,0,0,0,8,0,4,2008,79000
157,20,7200,1,0,1,5,7,1950,1950,0,0,1,1040,0,1040,1,0,2,1,5,0,2,0,0,0,6,2006,109500
158,60,12003,1,0,2,8,5,2009,2010,0,774,1,774,1194,1968,2,1,4,1,8,1,3,0,75,0,5,2010,269500
159,60,12552,1,0,2,7,5,2004,2005,222,991,1,991,956,1947,2,1,3,1,8,1,2,0,136,0,5,2010,254900
160,60,19378,1,0,2,7,5,2005,2006,57,1392,1,1392,1070,2462,2,1,4,1,9,1,2,239,132,0,3,2006,320000
161,20,11120,1,0,1,6,6,1984,1984,660,1232,1,1232,0,1232,2,0,3,1,6,0,2,0,0,0,6,2008,162500
162,60,13688,1,0,2,9,5,2003,2004,1016,1572,1,1572,1096,2668,2,1,3,1,10,2,3,400,0,0,3,2008,412500
163,20,12182,1,0,1,7,5,2005,2005,1201,1541,1,1541,0,1541,2,0,3,1,7,1,2,0,70,0,5,2010,220000
164,45,5500,1,0,1.5,4,6,1956,1956,0,882,1,882,0,882,1,0,1,1,4,0,0,0,0,0,4,2007,103200
165,40,5400,1,0,1,6,7,1926,2004,370,1149,1,1149,467,1616,2,0,3,1,5,0,1,0,0,0,10,2007,152000
166,190,10106,0,0,1.5,5,7,1940,1999,351,644,1,808,547,1355,2,0,4,2,6,0,0,140,0,0,9,2008,127500
167,20,10708,1,0,1,5,5,1955,1993,379,1617,1,1867,0,1867,1,0,2,1,7,3,1,476,0,0,11,2009,190000
168,60,10562,1,0,2,8,5,2007,2007,1288,1582,1,1610,551,2161,1,1,3,1,8,1,3,178,120,0,11,2007,325624
169,60,8244,1,0,2,7,5,2004,2004,0,840,1,840,880,1720,2,1,3,1,7,1,2,100,48,0,5,2007,183500
170,20,16669,1,0,1,8,6,1981,1981,0,1686,1,1707,0,1707,2,1,2,1,6,1,2,574,64,0,1,2006,228000
171,50,12358,1,0,1.5,5,6,1941,1950,360,720,1,854,0,1382,1,1,2,1,7,0,2,237,0,0,5,2007,128500
172,20,31770,1,0,1,6,5,1960,1960,639,1080,1,1656,0,1656,1,0,3,1,7,2,2,210,62,0,5,2010,215000
173,160,5306,0,0,2,7,7,1987,1987,495,1064,1,1064,703,1767,2,0,2,1,5,1,2,441,35,0,6,2006,239000
174,20,10197,1,1,1,6,5,1961,1961,288,1362,1,1362,0,1362,1,1,3,1,6,1,2,0,20,0,6,2008,163000
175,20,12416,1,0,1,6,5,1986,1986,1398,1606,1,1651,0,1651,2,0,3,1,7,1,2,192,0,0,11,2008,184000
176,20,12615,1,0,1,6,7,1950,2001,477,1202,1,2158,0,2158,2,0,4,1,7,1,2,0,29,0,6,2007,243000
177,60,10029,1,0,2,6,5,1988,1989,831,1151,1,1164,896,2060,2,1,4,1,8,1,2,0,228,0,9,2007,211000
178,50,13650,1,0,1.5,5,5,1958,1958,57,1052,1,1252,668,1920,2,0,4,1,8,1,2,0,0,0,7,2006,172500
179,20,17423,1,0,1,9,5,2008,2009,1904,2216,1,2234,0,2234,2,0,1,1,9,1,3,0,60,0,7,2009,501837
180,30,8520,1,0,1,5,6,1923,2006,0,968,1,968,0,968,1,0,2,1,5,0,2,0,0,0,7,2007,100000
181,160,2117,0,0,2,6,5,2000,2000,436,756,1,769,756,1525,2,1,3,1,5,1,2,0,0,0,6,2007,177000
182,70,7588,1,1,2,7,6,1920,1950,352,793,1,901,901,1802,1,1,4,1,9,1,1,0,0,0,7,2006,200100
183,20,9060,1,0,1,5,6,1957,2006,0,0,1,1340,0,1340,1,0,3,1,7,1,1,116,0,0,6,2007,120000
184,50,11426,1,0,1.5,7,5,2003,2003,0,1362,1,1362,720,2082,2,1,3,1,6,0,2,280,238,0,6,2008,200000
185,50,7438,1,0,1.5,5,8,1908,1991,0,504,1,936,316,1252,1,0,3,1,5,0,2,104,0,0,6,2006,127000
186,75,22950,1,0,2,10,9,1892,1993,0,1107,1,1518,1518,3608,2,1,4,1,12,2,3,0,260,0,6,2006,475000
187,80,9947,1,0,1,7,5,1990,1991,611,1188,1,1217,0,1217,2,0,3,1,6,0,2,168,27,0,6,2009,173000
188,50,10410,1,0,1.5,5,7,1916,1987,0,660,1,808,704,1656,2,1,3,1,8,0,1,0,0,0,8,2009,135000
189,90,7018,0,0,1,5,5,1979,1979,1086,1086,1,1224,0,1224,0,2,2,2,6,2,2,120,0,0,6,2009,153337
190,120,4923,0,1,1,8,5,2001,2002,1153,1593,1,1593,0,1593,1,1,0,1,5,1,2,0,120,0,8,2008,286000
191,70,10570,1,1,2,8,8,1932,1994,297,853,1,1549,1178,2727,2,1,3,1,10,2,2,0,74,0,12,2007,315000
192,60,7472,1,0,2,7,9,1972,2004,626,725,1,725,754,1479,1,1,4,1,7,0,2,0,32,0,6,2007,184000
193,20,9017,1,0,1,7,5,1999,1999,560,1431,1,1431,0,1431,2,0,3,1,6,0,2,0,35,0,9,2009,192000
194,160,2522,0,0,2,7,5,2004,2004,0,970,1,970,739,1709,2,0,3,1,7,0,2,0,40,0,5,2006,130000
195,20,7180,1,1,1,5,7,1972,1972,390,864,1,864,0,864,1,0,3,1,5,0,1,0,0,0,5,2008,127000
196,160,2280,0,0,2,6,6,1976,1976,566,855,1,855,601,1456,2,1,3,1,7,1,2,87,0,0,7,2009,148500
197,20,9416,1,1,1,7,5,2007,2007,1126,1726,1,1726,0,1726,2,0,3,1,8,1,3,171,138,0,9,2007,311872
198,75,25419,1,0,2,8,4,1918,1990,1036,1360,1,1360,1360,3112,2,0,4,1,8,1,2,0,16,512,3,2006,235000
199,75,5520,1,0,2,6,6,1912,1950,0,755,1,929,929,2229,1,0,5,1,8,0,0,0,198,0,7,2009,104000
200,20,9591,1,0,1,8,5,2004,2005,1088,1713,1,1713,0,1713,2,0,3,1,7,1,3,0,26,0,1,2009,274900
201,20,8546,1,0,1,4,5,2003,2004,0,1121,1,1121,0,1121,2,0,2,1,5,0,2,132,64,0,3,2010,140000
202,20,10125,1,0,1,6,6,1977,1977,641,1196,1,1279,0,1279,2,0,3,1,6,2,2,238,83,0,2,2008,171500
203,50,7000,1,0,1.5,6,6,1924,1950,617,617,1,865,445,1310,2,0,2,1,6,0,1,0,0,0,5,2006,112000
204,120,4438,0,0,1,6,5,2004,2004,662,848,1,848,0,848,1,0,1,1,3,1,2,149,0,0,1,2008,149000
205,50,3500,1,1,1.5,5,7,1947,1950,312,720,1,720,564,1284,1,1,2,1,5,0,1,0,35,0,4,2009,110000
206,20,11851,1,0,1,7,5,1990,1990,0,1424,1,1442,0,1442,2,0,3,1,5,0,2,0,34,0,5,2009,180500
207,20,13673,1,0,1,5,5,1962,1962,0,1140,1,1696,0,1696,1,1,3,1,8,1,1,0,30,0,3,2007,143900
